Rank,Ticker,Sector,Divergence,Relative_Divergence,Delta_Previous_Relative_Divergence,ytd,1m,3m,6m,1y,3y,5y,7y,max,Max_Divergence,Min_Divergence,Volatility_Adjustment,Expected_Return,Dynamic_Expected_Return,Total_Return,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Average_Rank,Average_Rank,Delta_Previous_Rank,Delta_Previous_Dynamic_Expected_Return,Trend_State,Position_State,Momentum_State,Composite_State,DER_cap_monthly,DER_capped,F_trend,DER_capped_trend,Total_Return_Rank,Total_Return_Rank,Divergence_Rank,Divergence_Rank,Penalty,Penalty,Recent_Momentum_Rank,Recent_Weakness_Penalty,Coverage_Penalty,State_Adjustment,Durability_Adjustment,Average_Rank,Average_Rank,Market_Cap,Market_Cap_B,Market_Cap_Rank,Market_Cap_Bucket,Market_Cap_Asset_Type,Market_Cap_Source,High_52W,Pct_From_52W_High,At_52W_High
288,CVX,Oil & Gas Integrated,-41.6,18.1,5.0,,-2.4,-8.6,-1.8,2.4,-11.3,-19.4,-14.2,-41.6,68.2,-65.3,1.9,0.0,-1845.9733603243308,108.7,267.0,267.0,289.0,289.0,102.89,102.89,374.79,374.79,43,-1666.9734771454976,EARLY_DOWN,LOWER,MOMENTUM_UP,S4_BOTTOMING,,,,,267.0,267.0,289.0,289.0,102.89,102.89,229.0,4.0,3.0,-2.0,0.0,374.79,374.79,375117444977.95,375.117,32.0,cap100,equity,data_raw,214.71,-12.76,False
289,MLM,Building Materials,-28.7,11.2,0.0,,-4.2,-12.8,-15.1,-17.5,-30.8,-30.3,-25.8,-28.7,79.9,-42.2,1.3,0.0,157.43740249854196,121.5,242.0,242.0,261.0,261.0,98.5,98.5,375.25,375.25,9,-68.15920231852533,EARLY_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,242.0,242.0,261.0,261.0,98.5,98.5,427.0,58.0,3.0,0.0,0.0,375.25,375.25,34878260594.42,34.878,297.0,large,equity,data_raw,710.97,-18.3,False
290,EQT,Oil & Gas E&P,-4.9,48.2,0.5,,-5.4,-14.0,-14.0,-15.4,-13.7,-1.4,69.9,-4.9,112.9,-116.6,1.2,0.0,20.003723899588945,145.4,205.0,205.0,218.0,218.0,90.67,90.67,375.52,375.52,1,6.006218328084978,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,205.0,205.0,218.0,218.0,90.67,90.67,424.0,40.0,3.0,25.0,0.0,375.52,375.52,34551405769.84,34.551,298.0,large,equity,data_raw,68.24,-21.23,False
291,KEY,Financials,-55.2,24.3,2.6,,-1.0,-4.2,-3.7,0.1,13.5,-7.9,-18.8,-55.2,40.9,-88.1,1.4,0.0,-616.4595764901145,95.1,292.0,292.0,320.0,320.0,81.97,81.97,376.97,376.97,19,-452.5864462435326,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,292.0,292.0,320.0,320.0,81.97,81.97,216.0,0.0,3.0,25.0,0.0,376.97,376.97,23495170741.68,23.495,375.0,other,equity,data_raw,23.35,-6.81,False
292,A,Healthcare,-77.7,14.0,1.9,,8.8,6.7,-1.1,-4.5,-30.3,-55.1,-67.5,-77.7,101.2,-106.3,2.8,0.0,-610.4044001798129,72.6,348.0,348.0,373.0,373.0,91.93,91.93,377.03,377.03,13,-343.7146132378413,STRONG_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,348.0,348.0,373.0,373.0,91.93,91.93,154.0,0.0,3.0,0.0,0.0,377.03,377.03,39080106712.22,39.08,272.0,large,equity,data_raw,160.27,-15.49,False
293,ELV,Healthcare,-85.4,12.8,3.2,,3.3,11.5,10.7,8.5,-36.8,-61.4,-73.7,-85.4,105.9,-113.2,2.4,0.0,-1357.1388316338073,64.9,370.0,370.0,395.0,395.0,82.69,82.69,377.04,377.04,8,-1068.6407340043795,STRONG_UP,LOWER,MOMENTUM_DOWN,S0_NEUTRAL,,,,,370.0,370.0,395.0,395.0,82.69,82.69,99.0,0.0,3.0,0.0,0.0,377.04,377.04,88914965397.38,88.915,136.0,large,equity,data_raw,416.56,-0.25,True
294,EVRG,Utilities,-52.0,26.3,-0.2,,-1.9,-8.1,-5.2,-3.1,8.6,-4.5,-20.6,-52.0,19.6,-76.9,1.5,0.0,-124.257430815643,98.3,283.0,283.0,309.0,309.0,86.58,86.58,377.18,377.18,-34,-13.364240884958164,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,283.0,283.0,309.0,309.0,86.58,86.58,271.0,4.0,3.0,25.0,0.0,377.18,377.18,18876711476.56,18.877,418.0,other,equity,data_raw,85.27,-2.35,False
295,CVNA,Auto & Truck Dealerships,-51.9,4.9,-1.5,,-47.1,-69.7,-80.1,-89.6,-63.6,2.9,-55.2,-51.9,1079.9,-122.9,1.3,0.0,1968.5890418924728,73.1,346.0,346.0,308.0,308.0,61.64,61.64,378.79,378.79,-20,-3031.410958107527,STRONG_DOWN,LOWER,MOMENTUM_UP,S4_BOTTOMING,,,,,346.0,346.0,308.0,308.0,61.64,61.64,583.0,58.0,3.0,-2.0,0.0,378.79,378.79,47411129951.9,47.411,248.0,large,equity,data_raw,486.89,-86.34,False
296,MET,Financials,-57.8,7.9,1.9,,0.9,2.7,0.7,-5.1,-19.6,-31.8,-32.6,-57.8,42.0,-65.9,2.4,0.0,-751.6424508047165,92.4,295.0,295.0,324.0,324.0,90.0,90.0,382.35,382.35,7,-402.38651849638535,EARLY_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,295.0,295.0,324.0,324.0,90.0,90.0,180.0,0.0,3.0,25.0,0.0,382.35,382.35,53701232986.26,53.701,227.0,large,equity,data_raw,85.29,-2.15,False
297,NVO,Biotechnology,-91.0,1.1,-1.1,,-2.9,1.2,-11.0,-26.0,-79.0,-90.0,-88.9,-91.0,389.4,-95.9,2.4,0.0,2171.110811439997,59.3,388.0,388.0,413.0,413.0,79.19,79.19,382.54,382.54,-19,-1675.5182431874755,EARLY_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,388.0,388.0,413.0,413.0,79.19,79.19,369.0,18.0,3.0,25.0,0.0,382.54,382.54,146783591500.0,146.784,85.0,cap100,equity,data_raw,64.16,-33.04,False
298,SPGI,Financial Data & Exchanges,-65.7,3.5,-0.6,,-3.8,-9.5,-17.7,-26.8,-46.5,-59.7,-74.7,-65.7,95.4,-71.1,1.8,0.0,459.41311590749217,84.5,314.0,314.0,342.0,342.0,95.07,95.07,384.12,384.12,34,-563.0728956509859,EARLY_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,314.0,314.0,342.0,342.0,95.07,95.07,453.0,40.0,3.0,0.0,0.0,384.12,384.12,124355518554.69,124.356,96.0,cap100,equity,data_raw,552.25,-23.93,False
299,NSC,Industrials,-32.6,18.1,1.5,,-2.8,-6.0,-4.3,-3.2,-5.0,-22.4,-36.9,-32.6,59.6,-52.6,1.4,0.0,-284.1928863447257,117.7,250.0,250.0,270.0,270.0,106.59,106.59,384.39,384.39,-38,-180.91191362863196,EARLY_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,250.0,250.0,270.0,270.0,106.59,106.59,258.0,4.0,3.0,25.0,0.0,384.39,384.39,68993031715.52,68.993,187.0,large,equity,data_raw,326.0,-5.77,False
300,WAT,Healthcare,-89.8,14.3,-1.6,,8.6,8.7,-0.3,-2.1,-24.0,-46.8,-60.2,-89.8,46.1,-111.9,1.9,0.0,-112.61799575750507,60.5,380.0,380.0,405.0,405.0,99.98,99.98,384.53,384.53,44,284.1359654994909,STRONG_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,380.0,380.0,405.0,405.0,99.98,99.98,141.0,0.0,3.0,0.0,0.0,384.53,384.53,36964028951.71,36.964,287.0,large,equity,data_raw,414.15,-9.1,False
301,DLR,Real Estate,-48.4,20.3,-1.1,,-4.4,-5.4,1.6,-1.5,-2.3,-6.1,-24.7,-48.4,38.9,-70.1,1.6,0.0,-66.99877912099205,101.8,278.0,278.0,302.0,302.0,107.01,107.01,384.66,384.66,-33,31.520984042026512,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,278.0,278.0,302.0,302.0,107.01,107.01,221.0,4.0,3.0,25.0,0.0,384.66,384.66,66310324336.59,66.31,196.0,large,equity,data_raw,208.14,-10.26,False
302,PAYX,Industrials,-96.1,7.8,2.4,,0.2,-1.8,-8.4,-24.2,-51.8,-69.5,-79.2,-96.1,70.8,-109.7,2.9,0.0,51.52720387682693,54.1,405.0,405.0,431.0,431.0,84.88,84.88,387.58,387.58,56,18.367386250068257,STRONG_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,405.0,405.0,431.0,431.0,84.88,84.88,351.0,10.0,3.0,0.0,0.0,387.58,387.58,35642778044.64,35.643,293.0,large,equity,data_raw,130.32,-23.66,False
303,ALB,Specialty Chemicals,-69.3,22.9,-3.3,,-11.3,-15.6,-6.8,49.2,23.8,-30.0,-31.1,-69.3,194.3,-146.7,2.5,0.0,-56.69984050863777,81.0,325.0,325.0,352.0,352.0,101.96,101.96,389.26,389.26,-50,222.81897427800985,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,325.0,325.0,352.0,352.0,101.96,101.96,143.0,4.0,3.0,25.0,0.0,389.26,389.26,19535874218.33,19.536,415.0,other,equity,data_raw,221.0,-29.67,False
304,SLB,Oil & Gas Equipment & Services,-87.1,31.7,6.7,,1.5,1.5,15.0,30.8,-4.1,-14.4,-5.6,-87.1,19.0,-135.4,2.3,0.0,-3060.042197524941,63.2,375.0,375.0,399.0,399.0,89.24,89.24,389.59,389.59,12,-2847.232643336761,EARLY_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING,,,,,375.0,375.0,399.0,399.0,89.24,89.24,84.0,0.0,3.0,-2.0,0.0,389.59,389.59,86728292405.21,86.728,140.0,large,equity,data_raw,58.81,-1.36,False
305,LHX,Aerospace & Defense,-34.6,29.1,-2.7,,-3.0,-14.8,-11.7,-8.3,-0.9,-16.4,-32.4,-34.6,63.3,-74.3,1.7,0.0,-16.982111221479354,115.7,254.0,254.0,276.0,276.0,114.7,114.7,390.0,390.0,-9,43.61403163407597,STRONG_DOWN,MID_RANGE,MOMENTUM_UP,S4_BOTTOMING,,,,,254.0,254.0,276.0,276.0,114.7,114.7,380.0,20.0,3.0,-2.0,0.0,390.0,390.0,57710449693.37,57.71,215.0,large,equity,data_raw,379.23,-18.83,False
306,MTB,Financials,-52.9,19.4,6.6,,1.5,-3.1,-1.8,-1.0,3.3,-7.8,-15.5,-52.9,29.4,-72.2,1.5,0.0,-3362.1515867336534,97.3,287.0,287.0,314.0,314.0,110.3,110.3,390.05,390.05,34,-3077.041224238255,EARLY_UP,LOWER,MOMENTUM_UP,S4_BOTTOMING,,,,,287.0,287.0,314.0,314.0,110.3,110.3,196.0,0.0,3.0,-2.0,0.0,390.05,390.05,32471262528.12,32.471,307.0,other,equity,data_raw,239.0,-7.23,False
307,VRSN,Technology,-62.7,18.5,3.2,,1.0,5.5,6.9,-0.8,-4.7,-23.4,-50.3,-62.7,78.8,-94.3,1.7,0.0,-1297.2523517241127,87.5,309.0,309.0,336.0,336.0,93.1,93.1,390.9,390.9,-42,-1104.5835189270865,EARLY_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,309.0,309.0,336.0,336.0,93.1,93.1,145.0,0.0,3.0,25.0,0.0,390.9,390.9,26734890777.59,26.735,348.0,other,equity,data_raw,312.48,-5.98,False
308,GD,Aerospace & Defense,-42.8,28.4,-3.6,,-2.7,-8.9,-8.8,-8.2,-8.3,-10.0,-7.5,-42.8,19.3,-66.9,1.4,0.0,-10.488265654959218,107.5,270.0,270.0,292.0,292.0,107.15,107.15,391.25,391.25,-36,41.07228881754443,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,270.0,270.0,292.0,292.0,107.15,107.15,328.0,4.0,3.0,25.0,0.0,391.25,391.25,92351908860.5,92.352,131.0,large,equity,data_raw,369.7,-6.29,False
309,IDXX,Veterinary Diagnostics,-29.5,3.8,0.2,,-2.9,-11.4,-18.9,-20.2,-29.0,-48.5,-61.1,-29.5,217.2,-38.9,1.7,0.0,73.55645739424997,120.8,248.0,248.0,267.0,267.0,102.94,102.94,391.44,391.44,-9,-96.27497191189892,EARLY_UP,LOWER,MOMENTUM_UP,S4_BOTTOMING,,,,,248.0,248.0,267.0,267.0,102.94,102.94,446.0,58.0,3.0,-2.0,0.0,391.44,391.44,44548382955.44,44.548,255.0,large,equity,data_raw,769.98,-26.99,False
310,CB,Insurance - Property & Casualty,-38.5,15.3,2.6,,-3.5,-10.9,-9.1,-7.9,-15.2,-16.5,-14.6,-38.5,25.9,-49.7,1.6,0.0,-232.31998983033324,111.7,263.0,263.0,285.0,285.0,95.86,95.86,391.71,391.71,-8,-193.38555968261514,STRONG_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,263.0,263.0,285.0,285.0,95.86,95.86,342.0,4.0,3.0,25.0,0.0,391.71,391.71,121982003337.0,121.982,99.0,cap100,equity,data_raw,345.67,-5.61,False
311,COF,Diversified Banks,-24.0,19.9,-4.1,,-5.1,-10.8,-18.9,-25.1,-17.0,-18.7,-9.1,-24.0,92.5,-52.5,1.3,0.0,12.35785753107572,126.3,235.0,235.0,252.0,252.0,66.22,66.22,391.82,391.82,-53,-70.67450412910688,STRONG_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,235.0,235.0,252.0,252.0,66.22,66.22,463.0,58.0,3.0,25.0,0.0,391.82,391.82,114004035946.51,114.004,108.0,large,equity,data_raw,259.64,-30.42,False
312,ACHR,Aerospace & Defense,-37.5,7.7,-3.7,,-1.5,-4.2,-12.8,-32.3,-25.2,-25.8,,-37.5,137.3,-87.4,1.6,0.0,8.301104225370658,29.2,470.0,470.0,282.0,282.0,59.0,59.0,392.9,392.9,-42,-35.00887661401408,STRONG_UP,LOWER,MOMENTUM_DOWN,S0_NEUTRAL,,,,,470.0,470.0,282.0,282.0,59.0,59.0,428.0,18.0,14.0,0.0,0.0,392.9,392.9,4867078015.32,4.867,537.0,other,equity,data_raw,14.62,-62.11,False
313,LYB,Specialty Chemicals,-74.5,23.4,0.5,,-8.6,-9.6,9.1,10.7,-38.5,-51.8,-50.7,-74.5,80.7,-121.2,2.6,0.0,-78.39062433409791,75.8,338.0,338.0,365.0,365.0,94.5,94.5,393.3,393.3,-14,-32.094514334736374,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,338.0,338.0,365.0,365.0,94.5,94.5,174.0,4.0,3.0,25.0,0.0,393.3,393.3,21361896375.65,21.362,400.0,other,equity,data_raw,83.94,-23.16,False
314,NWS,Entertainment,-61.8,10.7,5.7,,-1.7,-1.2,-4.0,-14.0,-26.1,-29.9,-31.3,-61.8,36.0,-72.9,2.0,0.0,-1351.8133771272603,88.4,305.0,305.0,334.0,334.0,91.85,91.85,393.85,393.85,-5,-1254.3842474652333,STRONG_UP,LOWER,MOMENTUM_UP,S0_NEUTRAL,,,,,305.0,305.0,334.0,334.0,91.85,91.85,277.0,10.0,3.0,0.0,0.0,393.85,393.85,5598044754.98,5.598,534.0,other,equity,data_raw,35.21,-12.58,False
315,KIM,Real Estate,-72.7,11.8,-0.1,,-0.3,-4.4,0.6,0.7,-9.2,-26.2,-30.2,-72.7,15.2,-83.9,2.0,0.0,-376.18579219602725,77.5,335.0,335.0,361.0,361.0,89.12,89.12,394.97,394.97,-20,-43.42513312206245,EARLY_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,335.0,335.0,361.0,361.0,89.12,89.12,190.0,0.0,3.0,25.0,0.0,394.97,394.97,16192099060.28,16.192,441.0,other,equity,data_raw,24.62,-1.58,False
316,HPQ,Technology,-105.9,13.6,-1.6,,5.5,15.6,13.3,-0.7,-40.7,-63.6,-75.0,-105.9,74.5,-133.6,2.4,0.0,-97.54879289137699,44.4,434.0,434.0,460.0,460.0,93.7,93.7,395.9,395.9,41,236.55387432510724,STRONG_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,434.0,434.0,460.0,460.0,93.7,93.7,98.0,0.0,3.0,0.0,0.0,395.9,395.9,24051946049.27,24.052,369.0,other,equity,data_raw,29.65,-13.73,False
317,KO,Soft Drinks,-56.8,8.4,-6.8,,-4.7,-9.5,-6.3,-5.8,-11.9,-22.4,-33.1,-56.8,15.3,-63.0,1.8,0.0,-12.482752686391194,93.4,294.0,294.0,322.0,322.0,103.37,103.37,397.62,397.62,-40,112.7339604823444,EARLY_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,294.0,294.0,322.0,322.0,103.37,103.37,313.0,4.0,3.0,25.0,0.0,397.62,397.62,330516698037.75,330.517,36.0,cap100,equity,data_raw,82.6635,-3.85,False
318,ATO,Natural Gas Utilities,-22.1,32.7,-1.6,,-7.6,-15.2,-13.4,-14.1,-11.8,-9.1,-16.3,-22.1,44.9,-54.0,1.3,0.0,2.3442194473981535,128.2,231.0,231.0,248.0,248.0,91.22,91.22,398.12,398.12,-11,-0.7141240626132248,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,231.0,231.0,248.0,248.0,91.22,91.22,429.0,40.0,3.0,25.0,0.0,398.12,398.12,28035854423.8,28.036,338.0,other,equity,data_raw,192.5099,-11.57,False
319,GL,Insurance - Life,-65.6,42.6,1.1,,-1.2,-3.0,-1.0,-1.4,-4.6,-16.2,-32.1,-65.6,15.6,-125.1,1.2,0.0,-129.5198093568085,84.7,313.0,313.0,341.0,341.0,107.95,107.95,398.65,398.65,-32,-56.95658447263891,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,313.0,313.0,341.0,341.0,107.95,107.95,203.0,0.0,3.0,25.0,0.0,398.65,398.65,11981362880.35,11.981,483.0,other,equity,data_raw,159.36,-0.11,True
320,EXPE,Travel Services,-67.8,24.9,1.2,,-7.6,-8.9,-16.2,-9.3,8.2,-1.3,-14.4,-67.8,18.5,-95.4,1.6,0.0,-313.91605131915287,82.5,317.0,317.0,346.0,346.0,86.23,86.23,400.48,400.48,9,-139.61225569270277,EARLY_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,317.0,317.0,346.0,346.0,86.23,86.23,396.0,12.0,3.0,0.0,0.0,400.48,400.48,26011796788.89,26.012,355.0,other,equity,data_raw,303.8,-24.66,False
321,IR,Industrial Machinery,-51.3,2.3,1.7,,-5.5,-17.6,-19.5,-24.2,-50.0,-52.0,-52.1,-51.3,89.2,-69.3,1.9,0.0,192.2206005927469,72.4,349.0,349.0,305.0,305.0,83.74,83.74,402.39,402.39,3,-1280.2619571148466,EARLY_UP,LOWER,MOMENTUM_UP,S4_BOTTOMING,,,,,349.0,349.0,305.0,305.0,83.74,83.74,492.0,58.0,3.0,-2.0,0.0,402.39,402.39,28180166252.33,28.18,334.0,other,equity,data_raw,100.96,-28.44,False
322,IEX,Industrials,-89.3,15.4,3.1,,0.7,-1.4,3.6,8.1,-23.9,-46.9,-67.4,-89.3,36.0,-111.7,2.5,0.0,-1819.0257116781645,61.0,379.0,379.0,404.0,404.0,93.62,93.62,402.47,402.47,64,-1400.4537053600486,STRONG_UP,LOWER,MOMENTUM_UP,S0_NEUTRAL,,,,,379.0,379.0,404.0,404.0,93.62,93.62,150.0,0.0,3.0,0.0,0.0,402.47,402.47,16008715100.15,16.009,444.0,other,equity,data_raw,223.845,-3.8,False
323,ONDO-USD,Decentralized Finance,-59.0,4.0,2.2,,23.0,26.0,12.8,-27.1,,,,-59.0,250.6,-121.4,2.3,0.0,3032.6863930947675,-29.1,567.0,567.0,327.0,327.0,74.62,74.62,402.77,402.77,-15,2103.6058198751552,EARLY_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,567.0,567.0,327.0,327.0,74.62,74.62,100.0,10.0,50.0,25.0,0.0,402.77,402.77,1845135392.53,1.845,,crypto,crypto,data_raw,0.979,-65.41,False
324,DGX,Healthcare,-52.8,6.9,1.8,,-0.5,-8.8,-5.9,-6.5,-8.2,-20.4,-31.1,-52.8,24.3,-58.0,1.8,0.0,-1429.3583408694603,97.5,284.0,284.0,312.0,312.0,114.88,114.88,403.08,403.08,-3,-1000.4623392024555,EARLY_UP,LOWER,MOMENTUM_UP,S4_BOTTOMING,,,,,284.0,284.0,312.0,312.0,114.88,114.88,296.0,4.0,3.0,-2.0,0.0,403.08,403.08,21709783114.97,21.71,395.0,other,equity,data_raw,213.5,-6.19,False
325,FRT,Real Estate,-94.5,16.1,1.8,,0.8,0.2,5.6,8.3,-10.1,-26.7,-40.6,-94.5,8.5,-113.5,2.2,0.0,-1060.9885701674643,55.8,399.0,399.0,424.0,424.0,93.54,93.54,403.59,403.59,11,-695.099871038241,STRONG_UP,LOWER,MOMENTUM_DOWN,S0_NEUTRAL,,,,,399.0,399.0,424.0,424.0,93.54,93.54,142.0,0.0,3.0,0.0,0.0,403.59,403.59,10436678678.66,10.437,503.0,other,equity,data_raw,121.84,-0.85,False
326,ACGL,Insurance - Diversified,-26.1,15.0,-1.5,,-5.6,-14.1,-15.6,-18.5,-39.4,-25.0,-16.7,-26.1,110.1,-49.5,1.4,0.0,68.5345900621509,124.2,240.0,240.0,258.0,258.0,91.22,91.22,403.62,403.62,-44,-111.30675282805231,STRONG_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,240.0,240.0,258.0,258.0,91.22,91.22,448.0,58.0,3.0,25.0,0.0,403.62,403.62,30865074924.42,30.865,315.0,other,equity,data_raw,103.39,-11.8,False
327,EXR,Real Estate,-78.5,3.9,2.3,,0.9,-4.3,-2.8,-8.6,-30.5,-56.3,-64.9,-78.5,95.9,-85.1,2.0,0.0,-2746.3372182911053,71.8,350.0,350.0,374.0,374.0,89.61,89.61,403.91,403.91,26,-1861.6372182911052,STRONG_UP,LOWER,MOMENTUM_UP,S0_NEUTRAL,,,,,350.0,350.0,374.0,374.0,89.61,89.61,252.0,0.0,3.0,0.0,0.0,403.91,403.91,30816631702.77,30.817,316.0,other,equity,data_raw,155.19,-6.37,False
328,MAS,Industrials,-75.8,8.5,-0.4,,-1.8,-3.2,-2.1,-6.8,-27.7,-36.4,-51.3,-75.8,27.9,-84.9,2.3,0.0,-236.4211232318149,74.5,343.0,343.0,370.0,370.0,115.16,115.16,404.06,404.06,0,25.041805572800712,EARLY_UP,LOWER,NEUTRAL,S0_NEUTRAL,,,,,343.0,343.0,370.0,370.0,115.16,115.16,241.0,0.0,3.0,0.0,0.0,404.06,404.06,14103255229.44,14.103,458.0,other,equity,data_raw,79.19,-12.35,False
329,JNJ,Pharmaceuticals,-51.7,32.3,2.5,,-1.2,-10.7,-7.6,3.0,1.6,-13.1,-26.8,-51.7,20.1,-85.4,2.0,0.0,-400.5092550465548,98.6,281.0,281.0,306.0,306.0,107.38,107.38,404.28,404.28,-48,-307.52356268830493,STRONG_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,281.0,281.0,306.0,306.0,107.38,107.38,263.0,4.0,3.0,25.0,0.0,404.28,404.28,549254691865.32,549.255,21.0,cap100,equity,data_raw,251.71,-7.52,False
330,TTWO,Electronic Gaming & Multimedia,-47.2,2.3,-4.1,,-4.6,-5.8,-12.2,-19.8,-19.1,-25.7,-49.9,-47.2,120.1,-50.9,1.5,0.0,-33.422556767057465,103.0,276.0,276.0,300.0,300.0,85.74,85.74,404.84,404.84,16,209.39115724747998,EARLY_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,276.0,276.0,300.0,300.0,85.74,85.74,398.0,22.0,3.0,25.0,0.0,404.84,404.84,40224681405.73,40.225,268.0,large,equity,data_raw,264.79,-18.18,False
331,TMUS,Telecommunication Services,-37.9,0.0,-1.0,,-9.1,-18.3,-19.2,-29.2,-38.3,-42.0,-46.6,-37.9,136.2,-37.5,2.0,0.0,2616.979100924017,112.4,261.0,261.0,283.0,283.0,98.49,98.49,405.09,405.09,-55,-2044.8058728380238,STRONG_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,261.0,261.0,283.0,283.0,98.49,98.49,513.0,58.0,3.0,25.0,0.0,405.09,405.09,191571883627.02,191.572,62.0,cap100,equity,data_raw,240.95,-26.53,False
332,MGM,Resorts & Casinos,-90.0,25.8,9.7,,7.1,12.2,18.0,17.8,-13.2,-36.9,-45.1,-90.0,24.1,-129.1,1.6,0.0,-5000.0,60.2,383.0,383.0,407.0,407.0,94.28,94.28,405.18,405.18,16,-4517.761803475963,STRONG_UP,MID_RANGE,NEUTRAL,S0_NEUTRAL,,,,,383.0,383.0,407.0,407.0,94.28,94.28,77.0,0.0,3.0,0.0,0.0,405.18,405.18,12265507854.54,12.266,478.0,other,equity,data_raw,51.59,-7.08,False
333,CARR,Industrials,-13.8,13.1,7.9,,0.9,0.7,6.1,-3.4,-23.9,-26.5,,-13.8,46.3,-102.3,2.1,0.0,-5000.0,66.9,363.0,363.0,232.0,232.0,111.33,111.33,406.58,406.58,89,-4475.4938652469245,STRONG_UP,LOWER,MOMENTUM_UP,S0_NEUTRAL,,,,,363.0,363.0,232.0,232.0,111.33,111.33,166.0,0.0,14.0,0.0,0.0,406.58,406.58,56927982952.84,56.928,218.0,large,equity,data_raw,69.83,-3.82,False
334,NEE,Electric Utilities,-37.9,11.9,-2.4,,-7.0,-14.1,-11.0,-5.4,-10.1,-30.5,-46.5,-37.9,77.1,-52.8,1.9,0.0,-40.912347573968205,112.4,261.0,261.0,283.0,283.0,102.28,102.28,409.13,409.13,-17,74.85348892859903,STRONG_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,261.0,261.0,283.0,283.0,102.28,102.28,372.0,20.0,3.0,25.0,0.0,409.13,409.13,178694667709.92,178.695,68.0,cap100,equity,data_raw,98.75,-13.24,False
335,PNR,Industrials,-90.9,3.8,3.8,,-4.9,-19.2,-28.1,-37.4,-48.9,-50.6,-56.5,-90.9,34.9,-95.3,1.5,0.0,1714.448972245747,59.4,387.0,387.0,412.0,412.0,66.4,66.4,409.75,409.75,105,1710.6535029604543,STRONG_DOWN,LOWER,MOMENTUM_UP,S4_BOTTOMING,,,,,387.0,387.0,412.0,412.0,66.4,66.4,540.0,58.0,3.0,-2.0,0.0,409.75,409.75,11772963415.26,11.773,487.0,other,equity,data_raw,113.95,-36.07,False
336,KR,Grocery Stores,-41.9,9.6,0.3,,-5.9,-14.6,-13.3,-18.4,-21.5,-26.2,-19.1,-41.9,65.1,-52.7,1.5,0.0,27.956779795182168,108.3,268.0,268.0,290.0,290.0,95.8,95.8,409.9,409.9,6,16.326648336254557,STRONG_DOWN,LOWER,MOMENTUM_DOWN,S5_TRASH,,,,,268.0,268.0,290.0,290.0,95.8,95.8,438.0,40.0,3.0,25.0,0.0,409.9,409.9,38374737571.36,38.375,278.0,large,equity,data_raw,76.58,-16.99,False
337,HAL,Oil & Gas Equipment & Services,-84.2,30.9,5.8,,-0.6,-0.9,13.0,37.4,0.9,-15.5,-4.2,-84.2,34.8,-138.6,2.5,0.0,-2605.6762119678465,66.1,366.0,366.0,392.0,392.0,89.45,89.45,410.4,410.4,6,-2385.31961308894,EARLY_DOWN,MID_RANGE,MOMENTUM_DOWN,S5_TRASH,,,,,366.0,366.0,392.0,392.0,89.45,89.45,83.0,0.0,3.0,25.0,0.0,410.4,410.4,34435095656.47,34.435,300.0,large,equity,data_raw,43.59,-10.12,False
